(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(8.0), np.float64(236.0))
 : 6(np.float64(8.0), np.float64(239.0))
 : 7(np.float64(8.0), np.float64(250.0))
 : 8(np.float64(9.0), np.float64(253.0))
 : 9(np.float64(11.0), np.float64(223.0))
 : 10(np.float64(11.0), np.float64(233.0))
 : 11(np.float64(11.0), np.float64(238.0))
 : 12(np.float64(13.0), np.float64(214.0))
 : 13(np.float64(15.0), np.float64(209.0))
 : 14(np.float64(16.0), np.float64(184.0))
 : 15(np.float64(17.0), np.float64(171.0))
 : 16(np.float64(18.0), np.float64(173.0))
 : 17(np.float64(19.0), np.float64(185.0))
 : 18(np.float64(19.0), np.float64(190.0))
 : 19(np.float64(19.0), np.float64(193.0))
 : 20(np.float64(19.0), np.float64(197.0))
 : 21(np.float64(20.0), np.float64(177.0))
 : 22(np.float64(21.0), np.float64(166.0))
 : 23(np.float64(22.0), np.float64(147.0))
 : 24(np.float64(23.0), np.float64(144.0))
 : 25(np.float64(23.0), np.float64(189.0))
 : 26(np.float64(24.0), np.float64(142.0))
 : 27(np.float64(25.0), np.float64(207.0))
 : 28(np.float64(26.0), np.float64(134.0))
 : 29(np.float64(26.0), np.float64(141.0))
 : 30(np.float64(27.0), np.float64(132.0))
 : 31(np.float64(27.0), np.float64(135.0))
 : 32(np.float64(27.0), np.float64(138.0))
 : 33(np.float64(29.0), np.float64(123.0))
 : 34(np.float64(29.0), np.float64(126.0))
 : 35(np.float64(29.0), np.float64(128.0))
 : 36(np.float64(29.0), np.float64(130.0))
 : 37(np.float64(29.0), np.float64(156.0))
 : 38(np.float64(30.0), np.float64(121.0))
 : 39(np.float64(31.0), np.float64(151.0))
 : 40(np.float64(32.0), np.float64(116.0))
 : 41(np.float64(33.0), np.float64(114.0))
 : 42(np.float64(35.0), np.float64(110.0))
 : 43(np.float64(39.0), np.float64(93.0))
 : 44(np.float64(41.0), np.float64(86.0))
 : 45(np.float64(41.0), np.float64(91.0))
 : 46(np.float64(42.0), np.float64(85.0))
 : 47(np.float64(43.0), np.float64(83.0))
 : 48(np.float64(44.0), np.float64(78.0))
 : 49(np.float64(46.0), np.float64(72.0))
 : 50(np.float64(46.0), np.float64(75.0))
 : 51(np.float64(47.0), np.float64(67.0))
 : 52(np.float64(48.0), np.float64(65.0))
 : 53(np.float64(48.0), np.float64(99.0))
 : 54(np.float64(48.0), np.float64(103.0))
 : 55(np.float64(49.0), np.float64(61.0))
 : 56(np.float64(49.0), np.float64(63.0))
 : 57(np.float64(49.0), np.float64(100.0))
 : 58(np.float64(50.0), np.float64(59.0))
 : 59(np.float64(51.0), np.float64(55.0))
 : 60(np.float64(53.0), np.float64(54.0))
 : 61(np.float64(54.0), np.float64(51.0))
 : 62(np.float64(55.0), np.float64(47.0))
 : 63(np.float64(55.0), np.float64(49.0))
 : 64(np.float64(56.0), np.float64(46.0))
 : 65(np.float64(57.0), np.float64(37.0))
 : 66(np.float64(57.0), np.float64(41.0))
 : 67(np.float64(57.0), np.float64(43.0))
 : 68(np.float64(58.0), np.float64(39.0))
 : 69(np.float64(60.0), np.float64(31.0))
 : 70(np.float64(62.0), np.float64(24.0))
 : 71(np.float64(66.0), np.float64(12.0))
 : 72(np.float64(69.0), np.float64(255.0))
 : 73(np.float64(71.0), np.float64(250.0))
 : 74(np.float64(71.0), np.float64(252.0))
 : 75(np.float64(72.0), np.float64(247.0))
 : 76(np.float64(74.0), np.float64(241.0))
 : 77(np.float64(76.0), np.float64(13.0))
 : 78(np.float64(76.0), np.float64(17.0))
 : 79(np.float64(77.0), np.float64(232.0))
 : 80(np.float64(78.0), np.float64(230.0))
 : 81(np.float64(80.0), np.float64(225.0))
 : 82(np.float64(81.0), np.float64(219.0))
 : 83(np.float64(81.0), np.float64(222.0))
 : 84(np.float64(81.0), np.float64(224.0))
 : 85(np.float64(83.0), np.float64(213.0))
 : 86(np.float64(84.0), np.float64(212.0))
 : 87(np.float64(85.0), np.float64(209.0))
 : 88(np.float64(87.0), np.float64(202.0))
 : 89(np.float64(87.0), np.float64(205.0))
 : 90(np.float64(88.0), np.float64(198.0))
 : 91(np.float64(89.0), np.float64(196.0))
 : 92(np.float64(90.0), np.float64(193.0))
 : 93(np.float64(91.0), np.float64(190.0))
 : 94(np.float64(92.0), np.float64(186.0))
 : 95(np.float64(94.0), np.float64(181.0))
 : 96(np.float64(94.0), np.float64(184.0))
 : 97(np.float64(95.0), np.float64(177.0))
 : 98(np.float64(96.0), np.float64(173.0))
 : 99(np.float64(97.0), np.float64(170.0))
 : 100(np.float64(98.0), np.float64(166.0))
 : 101(np.float64(98.0), np.float64(168.0))
 : 102(np.float64(99.0), np.float64(165.0))
 : 103(np.float64(100.0), np.float64(161.0))
 : 104(np.float64(100.0), np.float64(229.0))
 : 105(np.float64(101.0), np.float64(157.0))
